V_LA,V_LV,V_RA,V_RV,P_LV,P_RV,P_LA,P_RA,Q_MV,Q_AV,Q_TV,Q_PV,P_Ar_Sys,P_Ven_Sys,P_Ar_Pul,P_Ven_Pul,Q_Ar_Sys,Q_Ven_Sys,Q_Ar_Pul,Q_Ven_Pul
131.2554438449048,79.57578360520027,92.44841651017683,73.47860321362982,93.39699682057957,21.04036887258136,22.545979892082862,6.191389155712378,-0.0009448198940866109,-0.00044636122749850413,-0.00019818788086279338,-9.923926552899124e-05,126.86052120790698,37.12086593148346,28.46757997484939,24.47661167347687,107.21491856535282,96.687155928315,130.00331132342765,58.63566766491324
131.31395976975998,79.57578311412965,92.54509465369044,73.47860311633383,92.82049923009752,20.915738471334528,22.556512758556796,6.198156625758331,-0.0009369934685214052,-0.00045333272082108774,-0.00019643605513292405,-0.00010079721023119315,126.80692890120793,37.12097099365695,28.459805364011917,24.479282868871348,107.15076193005352,96.66632684456707,129.66539914933622,58.39306168828947
131.3722337060513,79.57578263788592,92.64175196439521,73.478603022354,92.24184596518954,20.790642034523927,22.567002067089234,6.204922637507665,-0.0009291388837352082,-0.0004603333816198637,-0.0001946780355746815,-0.00010236163780250156,126.75336866002192,37.12107562276084,28.4520509655923,24.48195048493188,107.0866441243822,96.64550567845957,129.3282220321026,58.1517108466026
131.430266904953,79.57578217652565,92.73838844826254,73.47860293170288,91.66109279846305,20.665091619481842,22.577448042891536,6.211687191378378,-0.0009212568802988609,-0.00046736246606184035,-0.00019291398293427137,-0.00010393238690128951,126.69984046492544,37.121179819123576,28.444316735557774,24.484614502337816,107.02256512469314,96.62469065447088,128.9917804694709,57.91160726869934
131.48806060976852,79.575781730104,92.8350041159869,73.47860284439261,91.07829570492194,20.539099327298416,22.587850909758334,6.218450288119084,-0.0009133482015004816,-0.0004744192276158306,-0.00019114405853690603,-0.00010550929560227676,126.64634429650786,37.121283583026056,28.43660262984459,24.487274902082728,106.95852490733675,96.60387697506374,128.65607487657027,57.67274314543913
131.5456160560674,79.57578129867447,92.93159897251181,73.47860276043511,90.49351085653795,20.412677301648202,22.59821089009213,6.225211928075827,-0.0009054135932727835,-0.00048150291712478933,-0.00018936842428093415,-0.00010709220141233089,126.59288013536852,37.12138691480654,28.428908604370392,24.489931665461487,106.89452344869913,96.58306352481061,128.3211055980362,57.435110727632484
131.60293447172495,79.57578088228925,93.02817301853445,73.47860267984193,89.90679461688725,20.2858377276304,22.608528204910492,6.231972111297412,-0.0008974538041214593,-0.000488612782877379,-0.00018758724262097774,-0.00010868094128596731,126.53944796212117,37.121489814845454,28.42123461503752,24.492584774066767,106.83056072520147,96.56225190264465,127.98687291035192,57.19870232548792
131.66001707693056,79.57578048099893,93.1247262508686,73.47860260262422,89.31820353568442,20.15859283058724,22.6188030738475,6.238730837560803,-0.0008894695850522893,-0.0004957480706808013,-0.0001858006765518378,-0.00011027535164109154,126.48604775739106,37.12159228356184,28.413580617732734,24.495234209788855,106.76663671329479,96.54144619314071,127.6533770220404,56.96351030854477
131.7168650842732,79.57578009485256,93.22125867362575,73.47860252879298,88.72779434334896,20.03095487492936,22.629035715169174,6.245488107153803,-0.0008814616894985003,-0.0005029080239332535,-0.00018400888958240485,-0.00011187526837471199,126.43267950181624,37.12169432130152,28.40594656833155,24.497879954809818,106.70275138941506,96.52064581163133,127.32061807716111,56.72952710466245
131.77347969875441,79.57577972389781,93.3177702950195,73.47860245835865,88.13562394550443,19.902936162946315,22.639226345775793,6.252243920651366,-0.0008734308732473943,-0.0005100918836972294,-0.00018221204572278,-0.00011348052687878923,126.3793431760447,37.121795928369096,28.39833242269818,24.500521991602934,106.63890472999368,96.4998475522033,126.98859615569012,56.49674519990351
