P_LV,P_RV,V_LV,V_RV
134.95592913534963,33.716947540031974,88.18401888672663,91.85218275949231
134.99689685827826,33.635147532079365,87.87766582861022,91.23427514366392
135.03516623431867,33.55371707144766,87.57867373569377,90.6310439368631
135.0707875369747,33.47273422889967,87.28690657577162,90.04230780738317
135.10380167220603,33.39226933171092,87.0022297489491,89.46787721652075
135.13423427413164,33.31238533058089,86.72450809604486,88.9075554932559
135.16213033536417,33.23313818272272,86.45361730949004,88.3611398815862
135.18752949248352,33.154577199206024,86.18943551979243,87.82842246340738
135.21045367366332,33.07674540375724,85.93183921123823,87.30919105390886
135.23094216661016,32.99967990859989,85.68071459684802,86.80323008281422
135.24903355130235,32.923412252226576,85.43595152969556,86.31032135920647
135.26474691526465,32.84796873649663,85.19743739917239,85.83024479642239
135.27811555123267,32.77337078177111,84.96506789719504,85.36277913486558
135.28917705492873,32.69963524521898,84.73874365721899,84.90770256210797
135.29794845261586,32.62677472682073,84.51836230195502,84.46479328077243
135.3044569103295,32.55479789419081,84.30382811535941,84.03383008476347
135.30873896833393,32.483709774778646,84.09505162580773,83.61459285031518
135.31081027338672,32.41351202524293,83.89194007371432,83.20686296387862
135.31069191125897,32.344203219823314,83.69440559532858,82.81042376610121
135.30841915087612,32.27577911255441,83.50236777762514,82.42506093062997
135.30400683354517,32.2082328677208,83.31574291014527,82.0505627707887
135.2974702044285,32.141555308678406,83.13445038102832,81.68672056716257
135.28884290147218,32.07573514837692,82.95841804219782,81.33332885086902
135.27813941867208,32.0107591812091,82.78757070293616,80.99018560831752
135.2653696036826,31.946612491704457,82.62183453444008,80.65709250892397
135.25056496298788,31.883278653253566,82.46114489715187,80.33385510843706
135.23373997926598,31.82073988366456,82.30543462328153,80.02028297082809
135.21489975468083,31.758977215064053,82.15463632199699,79.71618981225382
135.19407302772322,31.697970661884852,82.00869213858391,79.42139363870228
135.1712744794202,31.63769934378475,81.86754245833373,79.13571680278031
135.14650532814323,31.578141619515772,81.73112609935382,78.8589860793282
135.11979077840047,31.51927522592567,81.59939129713143,78.59103274969621
135.0911458290495,31.461077372786008,81.4722855537762,78.33169260980212
135.06056876716318,31.403524844220765,81.34975374203904,78.08080599129008
